asset_name,symbol,category,chain,protocol,tvl_usd,volume_24h_usd,holders,active_addresses_30d,transfer_count_30d,top_10_holder_share,has_secondary_market,has_lending_market,has_oracle,has_agent_access,notes
Mantle Treasury Ladder Sample,mTBILL,RWA yield,Mantle,Illustrative treasury issuer,188000000,9800000,5210,2460,12880,39,True,True,True,True,Illustrative Mantle-oriented sample of a short-duration yield product with secondary routing and oracle visibility.
Mantle Tokenized Tech Basket Sample,mNDX,tokenized equity,Mantle,Illustrative equity wrapper,102000000,4700000,2980,1640,8120,46,True,False,True,True,Illustrative sample of a tokenized equity basket with active trading but still-limited collateral reuse.
Mantle Private Credit Gateway Sample,mCREDIT,private credit,Mantle,Illustrative credit issuer,131000000,930000,860,290,1350,65,False,True,True,False,Illustrative sample of private credit exposure with meaningful TVL but still narrow circulation.
Mantle Macro Event Market Sample,mVOTE,prediction market,Mantle,Illustrative forecast venue,24000000,7200000,9540,6610,29650,21,True,False,True,True,Illustrative prediction market sample with strong participation and visible pricing signals.
Mantle Settlement Liquidity Sample,mUSDL,stablecoin liquidity,Mantle,Illustrative DEX-lending stack,149000000,19400000,13120,8460,47200,17,True,True,True,True,Illustrative Mantle liquidity layer used for swaps collateral and agent settlement flows.
Mantle Agent Research Basket Sample,mAIX,AI-agent accessible market,Mantle,Illustrative agent market,36000000,6100000,3440,2390,10120,28,True,False,True,True,Illustrative machine-readable market sample designed for API-native monitoring and allocation.
Cross-Chain Equity Index Sample,gSPX,tokenized equity,Ethereum,Illustrative multi-chain wrapper,372000000,10200000,5840,2860,13740,43,True,True,True,True,Illustrative large-cap equity wrapper used here as a comparison benchmark rather than a verified live dataset.
Onchain SME Credit Pool Sample,oSME,private credit,Polygon,Illustrative SME pool,79000000,610000,470,150,760,72,False,True,False,False,Illustrative private credit sample with weak secondary circulation and concentrated ownership.
Real Estate Income Sleeve Sample,rRENT,RWA yield,Arbitrum,Illustrative income vault,64000000,2100000,1710,760,3820,55,True,False,True,False,Illustrative income-oriented RWA sample with moderate usage but incomplete downstream integration.
Sports Prediction Liquidity Sample,sPRED,prediction market,Base,Illustrative prediction venue,21000000,8400000,16180,11540,52400,15,True,False,True,True,Illustrative high-activity prediction market sample with strong agent-readable order flow.
Dollar Routing Reserve Sample,dROUTE,stablecoin liquidity,Base,Illustrative routing reserve,214000000,25800000,19040,13480,68400,13,True,True,True,True,Illustrative stablecoin liquidity sample representing a highly composable settlement layer.
Autonomous Macro Execution Sample,aMACRO,AI-agent accessible market,Mantle,Illustrative agent execution market,31000000,3900000,2120,1580,7440,31,True,True,True,True,Illustrative agent-first market sample where APIs oracle coverage and settlement access are part of the design.
